,title,view_count,like_count,comment_count,published,duration,video_id
909,Barstool Pizza Review -  Tony's Pizza,199856,2571,272,2020-3-3,217.0,6fr-27twY4o
910,Barstool Pizza Review - Carmine's Pizzeria (Brooklyn),118613,1666,225,2020-3-3,187.0,2cx6n_nmwa4
911,Barstool Pizza Review - Totonno's (Coney Island),255993,3321,527,2020-3-3,226.0,Pm732OY_PS0
912,"Barstool Pizza Review - Krispy Pizza (Jersey City, NJ)",229806,3246,508,2020-3-3,327.0,c9BINv3Yl3o
913,Barstool Pizza Review - Good Pie (Las Vegas),215754,3111,420,2020-3-3,333.0,l3QpkpqKwiU
914,"Barstool Pizza Review - King Umberto (Elmont,NY)",161673,2286,270,2020-3-3,186.0,Lr9j3MeEIdg
915,Barstool Pizza Review - Vezzo Thin Crust (Validation Review),182319,2536,379,2020-3-3,277.0,q2PZQ99jlso
916,Barstool Pizza Review - Starbucks Pizza,885796,11785,1128,2020-3-3,213.0,ldIY1xaxALc
917,Barstool Pizza Review - Denino's Pizzeria (Staten Island),193177,2447,383,2020-3-3,202.0,0i1HzCt9AD8
918,Barstool Pizza Review - Brother's Pizzeria (Staten Island),178159,2784,425,2020-3-3,203.0,v2Vvip6_1KA
919,"Barstool Pizza Review - Pizza Town USA (Elmwood Park, NJ)",155706,2048,370,2020-3-3,207.0,1BtWUVTE9eM
920,(Michael Rubin) Barstool Pizza Review - Canal Pizza (featuring Robert Kraft),121539,1764,282,2020-3-3,479.0,KSMZFNVwcdA
921,"(Stella Portnoy) Barstool Pizza - Pizza Al Fresco (Palm Beach, FL)",114711,2005,304,2020-3-3,177.0,WbbilyuuDGw
922,(Denny Hamlin) Barstool Pizza Review - Harry's Italian,100271,1946,184,2020-3-3,349.0,_UdqCmAbGZE
923,Barstool Pizza Review - Chuck E Cheese's,3490856,50626,3206,2020-3-3,209.0,Oy3lnflWu2k
924,"(Chase Elliott) Barstool Pizza Review - Napoli (Daytona Beach, FL)",179561,2456,234,2020-3-3,289.0,TeVmH_fO534
925,"Barstool Pizza Review - King's Pizza (Clearwater, FL)",96581,1329,405,2020-3-3,158.0,YPDA4E4h2hc
926,"(Valentines Day) Barstool Pizza Review - Pizza Girls (West Palm Beach, Fl)",103566,1584,233,2020-3-3,154.0,cRr1VVC1DW4
927,"Barstool Pizza Review - Eddie And Sam's NY Pizza (Tampa, FL)",194699,2434,570,2020-3-3,251.0,eQxluYvHcYc
928,(Kyle Van Noy) Barstool Pizza Review - La Vera Pizzeria,96492,1802,212,2020-3-3,266.0,VUgPl21Qoms
929,Barstool Pizza Review - Salvo's Pizzabar,189149,2514,310,2020-3-3,180.0,H8Si6cmAbIw
930,"Barstool Pizza Review - Johnny's Pizzeria (Mount Vernon, NY)",1048768,16823,1127,2020-3-3,322.0,1P1THO7sDVY
931,"Barstool Pizza Review - Slice Downtown (Atlanta,GA)",107592,1318,132,2020-3-3,173.0,B6XCuAtx9Fc
932,(Corey LaJoie) Barstool Pizza Review - Buckhead Pizza Co. presented by NASCAR,89030,1451,127,2020-3-3,255.0,G7xFZOyz7S0
933,"Barstool Pizza Review - Cosmo's Original Little Italy (Lawrenceville, GA)",81903,1151,195,2020-3-3,134.0,c2zOOzHVgOU
934,(Kyler Murray) Barstool Pizza Review - Piu Bello (Atlanta) With Special Guest Kyler Murray,175356,2216,271,2020-3-3,233.0,skRjP3tynPQ
