,Resturant,City,State,Date,Dave Score,Fan Score,Number of OneBite Reviews,Yelp Stars,Number of Yelp Reviews,Location,Links,Latitude,Longitude
59,Aubree's Pizzeria & Grill,Ypsilanti, MI,11/1/22,6.5,7.2,11,3.5,219,"39 E Cross St, Ypsilanti, MI",https://onebite.app/restaurant/aubrees-pizzeria-and-grill-ypsilanti-mi-1282a76b,42.2461379,-83.609521
60,College Pizza,State College, PA,10/31/22,1.8,5.5,15,3,28,"128 Locust Ln, State College, PA",https://onebite.app/restaurant/college-pizza-state-college-pa-67fa1133,40.7959186,-77.857985
61,Miami Slice,Miami, FL,10/28/22,8.6,9.0,13,4.5,52,"1335 NE Miami Ct, Miami, FL",https://onebite.app/restaurant/miami-slice-miami-fl-1f2d5b22,25.7877383,-80.1930776
62,Alton Food Hall,Miami Beach, FL,10/27/22,5.9,0.0,1,3.5,19,"955 Alton Rd, Miami Beach, FL",https://onebite.app/restaurant/alton-food-hall-miami-beach-fl-6bc43c6d,25.7803282,-80.140517
63,Red Zeppelin Pizza,Baton Rouge, LA,10/26/22,6.8,7.0,30,4,274,"4395 Perkins Rd, Baton Rouge, LA",https://onebite.app/restaurant/red-zeppelin-pizza-baton-rouge-la-c0f98f61,30.4174887,-91.1450105
64,Frank's Pizza,Houston, TX,10/25/22,5.4,7.1,83,4,987,"417 Travis St, Houston, TX",https://onebite.app/restaurant/franks-pizza-houston-tx-ed7f0936,29.761303,-95.362416
65,The Gypsy Poet,Houston, TX,10/24/22,7.8,8.5,70,5,485,"2404 Austin St, Houston, TX",https://onebite.app/restaurant/the-gypsy-poet-houston-tx-0ce781d6,29.7441444,-95.3703396
66,La Natural,Miami, FL,10/21/22,6.8,0.0,1,3.5,59,"7289 NW 2nd Ave, Miami, FL",https://onebite.app/restaurant/la-natural-miami-fl-e1614633,25.841881,-80.2005808
67,Slices New York,Orlando, FL,10/20/22,2.4,7.4,4,4,56,"8216 World Center Dr, Orlando, FL",https://onebite.app/restaurant/slices-new-york-orlando-fl-37c4dbcb,28.3566253,-81.4946355
68,Willie's New York Style Pizz...,Juno Beach, FL,10/19/22,8.1,7.9,31,4,127,"14731 US Hwy 1, Juno Beach, FL",https://onebite.app/restaurant/willies-new-york-style-pizza-juno-beach-fl-653b47fd,26.8926719,-80.0601685
